bowler,runs_conceded,overs,economy
SR Watson,2742,340.3333333333333,8.056807051909892
ST Jayasuriya,396,49.0,8.081632653061224
STR Binny,763,99.16666666666667,7.694117647058823
SW Tait,668,80.33333333333333,8.315352697095436
Sandeep Sharma,3758,472.3333333333333,7.956245589273112
Shahbaz Ahmed,850,89.83333333333333,9.461966604823749
Shahid Afridi,237,30.166666666666668,7.856353591160221
Shakib Al Hasan,1864,247.33333333333334,7.5363881401617245
Shivam Mavi,958,109.16666666666667,8.775572519083969
Simarjeet Singh,265,30.166666666666668,8.78453038674033
Sohail Tanvir,275,41.333333333333336,6.653225806451612
Suyash Sharma,381,43.166666666666664,8.826254826254827
Swapnil Singh,241,27.166666666666668,8.871165644171779
T Natarajan,2001,223.0,8.973094170403588
T Thushara,164,22.833333333333332,7.182481751824818
TA Boult,3286,390.5,8.414852752880922
TG Southee,1774,201.66666666666666,8.796694214876034
TK Curran,432,40.166666666666664,10.755186721991702
TL Suman,198,25.333333333333332,7.815789473684211
TM Dilshan,368,45.166666666666664,8.14760147601476
TS Mills,349,34.833333333333336,10.01913875598086
TU Deshpande,1275,130.0,9.807692307692308
UT Yadav,4442,513.3333333333334,8.653246753246753
Umar Gul,198,23.5,8.425531914893616
Umran Malik,785,82.83333333333333,9.476861167002012
V Kohli,371,42.833333333333336,8.66147859922179
V Pratap Singh,300,34.0,8.823529411764707
V Sehwag,236,22.833333333333332,10.335766423357665
V Shankar,344,40.5,8.493827160493828
VG Arora,598,65.5,9.129770992366412
VR Aaron,1527,167.0,9.1437125748503
VRV Singh,549,60.666666666666664,9.04945054945055
VS Malik,268,34.5,7.768115942028985
VY Mahesh,511,57.666666666666664,8.861271676300579
Vijaykumar Vyshak,396,38.666666666666664,10.241379310344827
WD Parnell,968,121.5,7.967078189300412
WPUJC Vaas,364,47.333333333333336,7.690140845070422
Washington Sundar,1335,176.0,7.5852272727272725
Y Venugopal Rao,338,36.0,9.38888888888889
YA Abdulla,311,35.0,8.885714285714286
YK Pathan,1443,191.16666666666666,7.548387096774194
YS Chahal,4681,588.3333333333334,7.9563739376770535
Yash Dayal,933,97.16666666666667,9.60205831903945
Yash Thakur,702,67.83333333333333,10.34889434889435
Yuvraj Singh,1091,145.0,7.524137931034483
Z Khan,2860,367.0,7.79291553133515
